taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
199,4,Anular — Distal,0,5,0.000,0.000,577.0,0.0,ok
200,4,Anular — Distal,0,6,0.000,0.000,625.0,0.0,ok
201,4,Anular — Distal,0,7,0.000,0.000,235.0,2.0,ok
202,4,Anular — Distal,1,0,0.000,0.000,211.0,83.0,ok
203,4,Anular — Distal,1,1,0.000,0.000,929.0,0.0,ok
204,4,Anular — Distal,1,2,0.000,0.000,894.0,0.0,ok
205,4,Anular — Distal,1,3,0.000,0.000,429.0,0.0,ok
206,4,Anular — Distal,1,4,0.000,0.000,1062.0,0.0,ok
207,4,Anular — Distal,1,5,0.000,0.000,1060.0,0.0,ok
208,4,Anular — Distal,1,6,0.000,0.000,341.0,0.0,ok
209,4,Anular — Distal,1,7,0.000,0.000,823.0,1.0,ok
210,4,Anular — Distal,2,0,0.000,0.000,172.0,0.0,ok
211,4,Anular — Distal,2,1,0.000,0.000,834.0,0.0,ok
212,4,Anular — Distal,2,2,0.000,0.000,1024.0,0.0,ok
213,4,Anular — Distal,2,3,0.000,0.000,750.0,0.0,ok
214,4,Anular — Distal,2,4,0.000,0.000,1097.0,0.0,ok
215,4,Anular — Distal,2,5,0.000,0.000,1101.0,0.0,ok
216,4,Anular — Distal,2,6,0.000,0.000,915.0,0.0,ok
217,4,Anular — Distal,2,7,6.220,1.022,993.0,2.0,noisy
218,4,Anular — Distal,3,0,0.000,0.000,729.0,148.0,ok
219,4,Anular — Distal,3,1,0.000,0.000,407.0,0.0,ok
220,4,Anular — Distal,3,2,0.000,0.000,481.0,0.0,ok
221,4,Anular — Distal,3,3,0.000,0.000,1233.0,0.0,ok
222,4,Anular — Distal,3,4,0.000,0.000,459.0,0.0,ok
223,4,Anular — Distal,3,5,0.000,0.000,387.0,0.0,ok
224,4,Anular — Distal,3,6,0.000,0.000,1117.0,0.0,ok
225,4,Anular — Distal,3,7,0.000,0.000,832.0,124.0,ok
226,4,Anular — Distal,4,0,0.000,0.000,480.0,153.0,ok
227,4,Anular — Distal,4,1,0.000,0.000,1008.0,7.0,ok
228,4,Anular — Distal,4,2,0.000,0.000,1170.0,0.0,ok
229,4,Anular — Distal,4,3,0.000,0.000,621.0,0.0,ok
230,4,Anular — Distal,4,4,0.000,0.000,1283.0,0.0,ok
231,4,Anular — Distal,4,5,0.000,0.000,1310.0,0.0,ok
232,4,Anular — Distal,4,6,0.000,0.000,881.0,0.0,ok
233,4,Anular — Distal,4,7,0.000,0.000,973.0,60.0,ok
234,4,Anular — Distal,5,0,0.000,0.000,207.0,1.5,ok
235,4,Anular — Distal,5,1,0.000,0.000,913.0,0.0,ok
236,4,Anular — Distal,5,2,0.000,0.000,1118.0,0.0,ok
237,4,Anular — Distal,5,3,0.000,0.000,227.0,0.0,ok
238,4,Anular — Distal,5,4,0.000,0.000,1308.0,0.0,ok
239,4,Anular — Distal,5,5,0.000,0.000,1267.0,0.0,ok
240,4,Anular — Distal,5,6,0.000,0.000,683.0,0.0,ok
241,4,Anular — Distal,5,7,0.000,0.000,946.0,0.0,ok
242,4,Anular — Distal,6,0,6.133,1.024,545.2,67.7,noisy
243,4,Anular — Distal,6,1,0.000,0.000,432.0,36.0,ok
244,4,Anular — Distal,6,2,0.000,0.000,1100.0,0.0,ok
245,4,Anular — Distal,6,3,0.000,0.000,1323.0,0.0,ok
246,4,Anular — Distal,6,4,0.000,0.000,889.0,0.0,ok
247,4,Anular — Distal,6,5,0.000,0.000,1135.0,0.0,ok
248,4,Anular — Distal,6,6,0.000,0.000,1262.0,0.0,ok
249,4,Anular — Distal,6,7,0.000,0.000,942.0,15.0,ok
250,4,Anular — Distal,7,0,0.000,0.000,425.0,0.0,ok
251,4,Anular — Distal,7,1,0.000,0.000,469.0,0.0,ok
252,4,Anular — Distal,7,2,0.000,0.000,1019.0,0.0,ok
253,4,Anular — Distal,7,3,0.000,0.000,822.0,0.0,ok
254,4,Anular — Distal,7,4,0.000,0.000,1292.0,0.0,ok
255,4,Anular — Distal,7,5,0.000,0.000,1432.0,0.0,ok
256,4,Anular — Distal,7,6,0.000,0.000,1258.0,2.0,ok
257,4,Anular — Distal,7,7,0.000,0.000,909.0,0.0,ok
258,4,Anular — Distal,8,0,0.000,0.000,0.0,76.0,stuck_low
259,4,Anular — Distal,8,1,0.000,0.000,669.0,0.0,ok
260,4,Anular — Distal,8,2,0.000,0.000,312.0,0.0,ok
261,4,Anular — Distal,8,3,0.000,0.000,322.0,0.0,ok
262,4,Anular — Distal,8,4,0.000,0.000,1243.0,0.0,ok
263,4,Anular — Distal,8,5,0.000,0.000,1300.0,0.0,ok
264,4,Anular — Distal,8,6,0.000,0.000,406.0,18.0,ok
265,4,Anular — Distal,8,7,0.000,0.000,819.0,28.0,ok
266,4,Anular — Distal,9,0,0.000,0.000,244.0,0.0,ok
267,4,Anular — Distal,9,1,0.000,0.000,248.0,1.0,ok
268,4,Anular — Distal,9,2,0.000,0.000,860.0,0.0,ok
269,4,Anular — Distal,9,3,0.000,0.000,1014.0,0.0,ok
270,4,Anular — Distal,9,4,0.000,0.000,789.0,0.0,ok
271,4,Anular — Distal,9,5,0.000,0.000,1089.0,0.0,ok
272,4,Anular — Distal,9,6,0.000,0.000,1076.0,20.0,ok
273,4,Anular — Distal,9,7,0.000,0.000,557.0,3.0,ok
274,4,Anular — Distal,10,0,21.453,4.661,285.0,13.3,noisy
275,4,Anular — Distal,10,1,0.000,0.000,203.0,0.0,ok
276,4,Anular — Distal,10,2,0.000,0.000,746.0,0.0,ok
277,4,Anular — Distal,10,3,0.000,0.000,874.0,0.0,ok
278,4,Anular — Distal,10,4,0.000,0.000,581.0,0.0,ok
279,4,Anular — Distal,10,5,0.000,0.000,806.0,0.0,ok
280,4,Anular — Distal,10,6,14.117,0.810,811.7,3.7,noisy
281,4,Anular — Distal,10,7,0.000,0.000,355.0,0.0,ok
282,4,Anular — Distal,11,0,0.000,0.000,-9.5,0.0,stuck_low
283,4,Anular — Distal,11,1,0.000,0.000,283.0,0.0,ok
284,4,Anular — Distal,11,2,0.000,0.000,65.0,0.0,ok
285,4,Anular — Distal,11,3,0.000,0.000,0.0,0.0,stuck_low
286,4,Anular — Distal,11,4,0.000,0.000,480.0,0.0,ok
287,4,Anular — Distal,11,5,0.000,0.000,380.0,0.0,ok
288,4,Anular — Distal,11,6,0.000,0.000,0.0,0.0,stuck_low
289,4,Anular — Distal,11,7,0.000,0.000,110.0,0.0,ok
290,5,Anular — Palmar,0,0,0.000,0.000,80.0,0.0,ok
291,5,Anular — Palmar,0,1,0.000,0.000,74.0,0.0,ok
292,5,Anular — Palmar,0,2,0.000,0.000,530.0,0.0,ok
293,5,Anular — Palmar,0,3,0.000,0.000,62.0,0.0,ok
294,5,Anular — Palmar,0,4,0.000,0.000,219.0,0.0,ok
295,5,Anular — Palmar,0,5,0.000,0.000,809.0,0.0,ok
296,5,Anular — Palmar,0,6,0.000,0.000,27.0,0.0,ok
297,5,Anular — Palmar,0,7,0.000,0.000,124.0,0.0,ok
298,5,Anular — Palmar,1,0,0.000,0.000,812.0,3.0,ok
299,5,Anular — Palmar,1,1,0.000,0.000,825.0,0.0,ok
300,5,Anular — Palmar,1,2,0.000,0.000,33.0,0.0,ok
301,5,Anular — Palmar,1,3,0.000,0.000,919.0,0.0,ok
302,5,Anular — Palmar,1,4,0.000,0.000,1023.0,0.0,ok
303,5,Anular — Palmar,1,5,0.000,0.000,255.0,0.0,ok
304,5,Anular — Palmar,1,6,0.000,0.000,848.0,0.0,ok
305,5,Anular — Palmar,1,7,0.000,0.000,967.0,0.0,ok
306,5,Anular — Palmar,2,0,0.000,0.000,891.5,21.5,ok
307,5,Anular — Palmar,2,1,0.000,0.000,848.0,0.0,ok
308,5,Anular — Palmar,2,2,0.000,0.000,51.0,0.0,ok
309,5,Anular — Palmar,2,3,0.000,0.000,1106.0,0.0,ok
310,5,Anular — Palmar,2,4,0.003,0.058,1134.0,0.0,noisy
311,5,Anular — Palmar,2,5,0.000,0.000,286.0,0.0,ok
312,5,Anular — Palmar,2,6,0.000,0.000,955.0,0.0,ok
313,5,Anular — Palmar,2,7,0.000,0.000,1280.0,0.0,ok
314,5,Anular — Palmar,3,0,0.000,0.000,451.0,0.0,ok
315,5,Anular — Palmar,3,1,0.000,0.000,465.0,0.0,ok
316,5,Anular — Palmar,3,2,0.000,0.000,1034.0,0.0,ok
317,5,Anular — Palmar,3,3,0.000,0.000,518.0,0.0,ok
318,5,Anular — Palmar,3,4,0.000,0.000,359.0,9.0,ok
319,5,Anular — Palmar,3,5,0.000,0.000,1100.0,0.0,ok
320,5,Anular — Palmar,3,6,0.000,0.000,892.0,0.0,ok
321,5,Anular — Palmar,3,7,0.000,0.000,420.0,0.0,ok
322,5,Anular — Palmar,4,0,0.000,0.000,836.0,0.0,ok
323,5,Anular — Palmar,4,1,0.000,0.000,957.0,17.3,ok
324,5,Anular — Palmar,4,2,0.000,0.000,825.0,0.0,ok
325,5,Anular — Palmar,4,3,0.000,0.000,1031.0,0.0,ok
326,5,Anular — Palmar,4,4,0.000,0.000,1037.0,0.0,ok
327,5,Anular — Palmar,4,5,0.000,0.000,1005.0,0.0,ok
328,5,Anular — Palmar,4,6,0.000,0.000,1121.0,0.0,ok
329,5,Anular — Palmar,4,7,0.000,0.000,906.0,0.0,ok
330,5,Anular — Palmar,5,0,0.057,0.283,873.0,0.0,noisy
