t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
4.132170,1,0,95,58,92,98,367,1557,0,0,0,0,49,-7,37
4.144406,0,0,95,58,92,98,367,1557,0,0,0,0,49,-7,37
4.154991,0,0,95,58,92,98,367,1557,0,0,0,0,49,-7,37
4.159591,0,1,95,58,92,98,367,1557,0,0,-1,0,49,-7,37
4.163857,1,1,95,58,92,98,370,1557,0,0,-1,0,50,-7,63
4.175341,0,0,95,58,92,98,370,1557,0,0,-1,0,50,-7,63
4.185018,0,0,95,58,92,98,370,1557,0,0,-1,0,50,-7,63
4.189974,0,0,95,58,92,98,370,1557,0,0,-1,0,50,-7,52
4.194646,1,0,95,58,92,98,372,1557,0,0,-1,0,50,-7,52
4.206361,0,0,95,58,92,98,372,1557,0,0,-1,0,50,-7,52
4.216414,0,0,95,58,92,98,372,1557,0,0,-1,0,50,-7,52
4.220965,0,0,95,58,92,98,372,1557,0,0,-1,0,50,-7,58
4.225909,1,1,95,58,92,98,373,1557,0,0,-1,0,50,-8,58
4.236936,0,0,95,58,92,98,373,1557,0,0,-1,0,50,-8,58
4.246860,0,0,95,58,92,98,373,1557,0,0,-1,0,50,-8,58
4.251135,0,0,95,58,92,98,373,1557,0,0,-1,0,50,-8,58
4.256160,1,0,95,58,92,98,374,1557,0,0,-1,0,50,-8,71
4.268346,0,0,95,58,92,98,374,1557,0,0,-1,0,50,-8,71
4.278434,0,0,95,58,92,98,374,1557,0,0,-1,0,50,-8,71
4.282728,0,1,95,58,92,98,374,1557,0,0,0,0,50,-8,26
4.287734,1,0,95,58,92,98,375,1557,0,0,0,0,50,-8,26
4.299171,0,0,95,58,92,98,375,1557,0,0,0,0,50,-8,26
4.308707,0,0,95,58,92,98,375,1557,0,0,0,0,50,-8,26
4.313897,0,1,95,58,92,98,375,1557,0,0,0,0,51,-8,56
4.318099,1,0,95,58,92,98,376,1557,0,0,0,0,51,-8,56
4.329416,0,0,95,58,92,98,376,1557,0,0,0,0,51,-8,56
4.333608,0,0,95,58,92,98,376,1557,0,0,0,0,51,-8,56
4.341692,0,0,95,58,92,98,376,1557,0,0,0,0,51,-8,56
4.345846,1,0,95,58,92,98,378,1557,0,0,0,0,51,-8,37
4.359215,0,0,95,58,92,98,378,1557,0,0,0,0,51,-8,37
4.363549,0,0,95,58,92,98,378,1557,0,0,0,0,51,-8,37
4.371616,0,0,95,58,92,98,378,1557,0,0,0,0,51,-8,70
4.376310,1,0,95,58,92,98,382,1557,0,0,0,0,51,-8,70
4.380464,0,0,95,58,92,98,382,1557,0,0,0,0,51,-8,70
4.391559,0,0,95,58,92,98,382,1557,0,0,0,0,51,-8,70
4.401385,0,0,95,58,92,98,382,1557,0,0,0,0,51,-8,70
4.405931,1,0,95,58,92,98,387,1557,0,0,0,0,51,-8,51
4.410211,0,0,95,58,92,98,387,1557,0,0,0,0,51,-8,51
4.423319,0,0,95,58,92,98,387,1557,0,0,0,0,51,-8,51
4.433308,0,0,95,58,92,98,387,1557,0,0,0,0,51,-8,51
4.438013,1,0,95,58,92,98,391,1557,0,0,0,0,51,-8,61
4.442252,0,0,95,58,92,98,391,1557,0,0,0,0,51,-8,61
4.453535,0,0,95,58,92,98,391,1557,0,0,0,0,51,-8,61
4.458032,0,1,95,58,92,98,391,1557,0,0,-1,0,51,-8,70
4.465147,1,0,95,58,92,98,393,1557,0,0,-1,0,51,-8,70
4.470023,0,0,95,58,92,98,393,1557,0,0,-1,0,51,-8,70
4.483194,0,0,95,58,92,98,393,1557,0,0,-1,0,51,-8,70
4.488160,0,1,95,58,92,98,393,1557,0,0,0,0,51,-8,70
