t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
35.651613,0,1,93,60,96,1369,245,50,1,1,1,129,-1,-3,0
35.656224,0,0,93,60,96,1369,245,50,1,1,1,129,-1,-3,0
35.668177,0,0,93,60,96,1369,245,50,1,1,1,129,-1,-3,0
35.677649,0,0,93,60,96,1369,245,50,1,1,1,129,-1,-3,0
35.682359,1,1,93,59,96,1369,245,50,1,1,0,128,-1,-3,0
35.686668,0,0,93,59,96,1369,245,50,1,1,0,128,-1,-3,0
35.699227,0,0,93,59,96,1369,245,50,1,1,0,128,-1,-3,0
35.708758,0,0,93,59,96,1369,245,50,1,1,0,128,-1,-3,0
35.713861,1,0,93,60,96,1369,245,50,1,1,0,128,-1,-3,0
35.718495,0,0,93,60,96,1369,245,50,1,1,0,128,-1,-3,0
35.730132,0,0,93,60,96,1369,245,50,1,1,0,128,-1,-3,0
35.740150,0,0,93,60,96,1369,245,50,1,1,0,128,-1,-3,0
35.742308,0,1,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.746845,0,1,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.760561,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.770834,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.776054,0,1,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.781391,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.793003,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.802940,1,0,93,59,96,1369,245,50,1,1,0,127,-1,-3,0
35.807552,0,0,93,59,96,1369,245,50,1,1,0,127,-1,-3,0
35.811846,0,0,93,59,96,1369,245,50,1,1,0,127,-1,-3,0
35.823457,0,0,93,59,96,1369,245,50,1,1,0,127,-1,-3,0
35.833151,1,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.837432,0,1,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.842571,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.854424,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.864669,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-2,0
35.872262,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.885486,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.894863,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.899449,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.903991,0,0,93,60,96,1369,245,50,1,1,0,127,-1,-3,0
35.915620,0,1,93,60,96,1369,245,50,0,1,0,127,-1,-3,0
35.919729,0,1,93,60,96,1369,245,50,0,1,0,137,-1,-3,135
35.927031,0,0,93,60,96,1369,245,50,0,1,0,137,-1,-3,135
35.931169,0,0,93,60,96,1369,245,50,0,1,0,137,-1,-3,135
35.935710,0,0,93,60,96,1369,245,50,0,1,0,137,-1,-3,135
35.947021,0,1,93,60,96,1369,245,50,1,1,0,137,-1,-3,135
35.956671,0,1,93,60,96,1369,245,50,1,1,0,135,-1,-3,0
35.960830,1,0,93,60,96,1373,245,50,1,1,0,135,-1,-3,0
35.964919,0,0,93,60,96,1373,245,50,1,1,0,135,-1,-3,0
35.978394,0,1,93,60,96,1373,245,50,0,1,0,135,-1,-3,0
35.988499,0,1,93,60,96,1373,245,50,0,1,0,130,-1,-3,0
35.992673,0,0,93,60,96,1373,245,50,0,1,0,130,-1,-3,0
35.996816,0,1,93,60,96,1373,245,50,1,1,0,130,-1,-3,0
36.008713,1,0,93,59,96,1373,245,50,1,1,0,130,-1,-3,0
36.012886,1,1,93,59,96,1372,245,50,1,1,0,127,-1,-3,0
36.021128,0,0,93,59,96,1372,245,50,1,1,0,127,-1,-3,0
36.025751,0,0,93,59,96,1372,245,50,1,1,0,127,-1,-3,0
36.039098,0,1,93,59,96,1372,245,50,0,1,0,127,-1,-3,0
36.043304,1,0,93,60,96,1372,245,50,0,1,0,127,-1,-3,0
36.051506,0,0,93,60,96,1372,245,50,0,1,0,127,-1,-3,0
36.055674,0,0,93,60,96,1372,245,50,0,1,0,127,-1,-3,0
36.060172,0,1,93,60,96,1372,245,50,1,1,0,127,-1,-3,0
36.071144,0,0,93,60,96,1372,245,50,1,1,0,127,-1,-3,0
36.080636,0,1,93,60,96,1372,245,50,1,1,0,126,-1,-3,0
36.085544,0,1,93,60,96,1372,245,50,1,1,0,126,-1,-2,0
36.089810,0,0,93,60,96,1372,245,50,1,1,0,126,-1,-2,0
36.102904,0,1,93,60,96,1372,245,50,1,1,0,125,-1,-2,0
36.112871,0,0,93,60,96,1372,245,50,1,1,0,125,-1,-2,0
36.115912,0,0,93,60,96,1372,245,50,1,1,0,125,-1,-2,0
36.120930,0,0,93,60,96,1372,245,50,1,1,0,125,-1,-2,0
36.133082,0,0,93,60,96,1372,245,50,1,1,0,125,-1,-2,0
36.142770,0,1,93,60,96,1372,245,50,1,1,0,125,-1,-3,0
36.148012,0,0,93,60,96,1372,245,50,1,1,0,125,-1,-3,0
36.153327,0,1,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.164364,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.173886,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.178503,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.182729,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.195408,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.205194,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.209408,0,0,93,60,96,1372,245,50,0,1,0,125,-1,-3,0
36.213604,1,0,93,59,96,1372,245,50,0,1,0,125,-1,-3,0
36.226423,0,1,93,59,96,1372,245,50,0,1,0,124,-1,-3,0
36.236647,0,0,93,59,96,1372,245,50,0,1,0,124,-1,-3,0
36.244528,1,0,93,60,96,1372,245,50,0,1,0,124,-1,-3,0
36.256731,0,1,93,60,96,1372,245,50,0,1,0,123,0,-3,0
36.260986,0,0,93,60,96,1372,245,50,0,1,0,123,0,-3,0
36.268694,0,0,93,60,96,1372,245,50,0,1,0,123,0,-3,0
36.273625,0,1,93,60,96,1372,245,50,1,0,0,123,0,-3,0
36.287098,0,1,93,60,96,1372,245,50,1,0,0,136,0,-3,121
36.291969,1,0,93,60,96,1374,245,50,1,0,0,136,0,-3,121
36.299464,0,0,93,60,96,1374,245,50,1,0,0,136,0,-3,121
36.303674,0,1,93,60,96,1374,245,50,0,1,0,136,0,-3,121
36.307865,1,1,93,60,96,1376,245,50,0,1,0,134,0,-3,0
36.318800,0,1,93,60,96,1376,245,50,0,1,0,134,-1,-3,0
36.322920,0,0,93,60,96,1376,245,50,0,1,0,134,-1,-3,0
36.329915,0,0,93,60,96,1376,245,50,0,1,0,134,-1,-3,0
36.333936,0,1,93,60,96,1376,245,50,1,1,0,134,-1,-3,0
36.338395,1,1,93,60,96,1375,245,50,1,1,0,130,-1,-3,95
36.350441,0,0,93,60,96,1375,245,50,1,1,0,130,-1,-3,95
36.360818,0,0,93,60,96,1375,245,50,1,1,0,130,-1,-3,95
36.365140,1,0,93,59,96,1375,245,50,1,1,0,130,-1,-3,95
