t_s,force4,force3,force2,pos,cur
2.151,452,283,423,613,0
2.153,452,283,423,613,0
2.155,452,283,423,613,0
2.157,452,283,423,613,0
2.168,452,283,423,613,0
2.170,452,283,423,613,0
2.177,452,283,423,613,0
2.179,452,283,423,613,0
2.182,452,283,423,613,0
2.184,452,283,423,613,0
2.186,452,283,423,613,0
2.197,452,283,423,613,0
2.200,452,283,423,613,0
2.202,452,283,423,613,0
2.210,452,283,423,613,0
2.212,452,283,423,613,0
2.214,452,283,423,613,0
2.216,452,283,423,613,0
2.218,452,283,423,613,0
2.229,452,283,423,613,0
2.231,452,283,423,613,0
2.233,452,283,423,613,0
2.240,452,283,423,613,0
2.242,452,283,423,613,0
2.244,452,283,423,613,0
2.245,452,283,423,613,0
2.247,452,283,423,613,0
2.249,452,283,423,613,0
2.260,452,283,423,613,0
2.262,452,283,423,613,0
2.263,452,283,423,613,0
2.270,452,283,423,613,0
2.272,452,283,423,613,0
2.274,452,283,423,613,0
2.277,452,283,423,613,0
2.280,452,283,423,613,0
2.291,452,283,423,612,0
2.293,452,283,423,612,0
2.295,452,283,423,612,0
2.303,452,283,423,612,0
2.305,452,283,423,612,0
2.308,452,283,423,612,0
2.311,452,283,423,612,0
2.322,452,283,423,612,0
2.325,452,283,423,612,0
2.332,452,283,423,612,0
2.335,452,283,423,612,0
2.338,452,282,423,612,0
2.341,452,282,423,612,0
2.353,452,282,423,612,0
2.355,452,282,423,612,0
2.357,452,282,423,612,0
2.364,452,282,423,612,0
2.366,452,282,423,612,0
2.368,452,283,423,612,0
2.371,452,283,423,612,0
2.373,452,283,423,612,0
2.386,452,283,423,612,0
2.388,452,283,423,612,0
2.397,452,283,423,612,0
2.399,452,282,423,612,0
2.402,452,282,423,612,0
2.404,452,282,423,612,0
2.416,452,282,423,612,0
2.420,452,282,423,612,0
2.428,452,282,423,612,0
2.430,452,283,423,612,0
2.432,453,283,423,612,0
2.434,453,283,423,612,0
2.445,453,283,423,612,0
2.447,453,283,423,612,0
2.449,453,283,423,612,0
2.457,453,283,423,612,0
2.458,453,283,423,612,0
2.460,453,283,423,612,0
2.462,453,283,423,612,0
2.464,452,283,423,612,0
2.466,452,283,423,612,0
2.477,452,283,423,612,0
2.479,452,283,423,612,0
2.480,452,283,423,612,0
2.488,452,283,423,612,0
2.490,452,283,424,612,0
2.493,453,283,424,612,0
2.495,453,283,424,612,0
2.497,453,283,424,612,0
2.508,453,283,424,612,0
2.510,453,283,424,612,0
2.512,453,283,424,612,0
2.520,453,283,424,612,0
2.521,453,283,424,612,0
2.523,453,283,424,612,0
2.525,453,283,424,612,0
2.527,453,283,424,612,0
2.538,453,283,424,612,0
2.540,453,283,424,612,0
2.542,453,283,424,612,0
2.549,453,283,424,612,0
2.551,453,283,424,612,0
2.553,453,283,424,612,0
2.555,453,283,424,612,0
2.557,453,283,424,612,0
2.560,453,283,424,612,0
2.571,453,283,424,612,0
2.574,453,283,424,612,0
2.582,453,283,424,612,0
2.584,453,283,424,612,0
2.587,453,283,424,612,0
2.590,453,283,424,612,0
2.601,453,283,424,612,0
2.604,453,283,424,612,0
2.611,453,283,423,612,0
2.614,453,283,423,612,0
2.616,453,283,423,612,0
2.618,453,283,423,612,0
2.621,453,283,423,612,0
2.633,453,283,423,612,0
2.635,453,283,423,612,0
2.643,453,283,424,612,0
2.645,453,283,424,612,0
2.647,453,283,424,612,0
2.649,453,283,424,612,0
2.651,453,283,424,612,0
2.662,453,283,424,612,0
2.664,453,283,424,612,0
2.667,453,283,424,612,0
2.675,453,283,423,612,0
2.677,453,283,423,612,0
2.679,453,283,423,612,0
2.681,453,283,423,612,0
2.683,453,283,423,612,0
2.694,453,283,423,612,0
2.696,453,283,423,612,0
2.698,453,283,423,612,0
2.705,453,283,423,612,0
2.707,453,283,423,612,0
2.709,453,283,423,612,0
2.710,453,283,423,612,0
2.713,453,283,423,612,0
2.724,453,283,423,612,0
2.727,453,283,423,612,0
2.730,453,283,423,612,0
2.737,453,283,423,612,0
2.739,453,283,423,612,0
2.742,453,283,423,612,0
2.744,453,283,423,612,0
2.755,453,283,423,612,0
2.757,453,283,423,612,0
2.759,453,283,423,612,0
2.767,453,283,423,612,0
2.770,453,283,423,612,0
2.772,453,283,423,612,0
