cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,hold,0.1175,468,1473,0,0,0
a1,hold,0.1240,467,1473,0,1,0
a1,hold,0.1387,467,1473,0,1,0
a1,hold,0.1497,467,1473,0,0,0
a1,hold,0.1565,467,1473,0,1,0
a1,hold,0.1705,467,1473,0,0,0
a1,hold,0.1824,467,1473,0,0,0
a1,hold,0.1883,467,1473,0,0,0
a1,hold,0.2011,467,1473,0,0,0
a1,hold,0.2113,467,1473,0,1,0
a1,hold,0.2156,484,1473,195,1,0
a1,hold,0.2199,484,1473,195,0,0
a1,hold,0.2313,484,1473,195,0,0
a1,hold,0.2410,484,1473,230,1,0
a1,hold,0.2457,497,1474,230,1,1
a1,hold,0.2505,497,1474,230,0,0
a1,hold,0.2628,497,1474,230,0,0
a1,hold,0.2725,505,1474,0,1,0
a1,hold,0.2771,505,1476,0,1,1
a1,hold,0.2817,505,1476,0,0,0
a1,hold,0.2929,505,1476,0,0,0
a1,hold,0.2970,499,1474,0,1,1
a1,hold,0.3044,499,1474,0,1,0
a1,hold,0.3085,499,1474,0,0,0
a1,hold,0.3134,499,1474,0,0,0
a1,hold,0.3248,499,1474,0,0,0
a1,hold,0.3350,493,1474,0,1,0
a1,hold,0.3397,493,1474,0,0,0
a1,hold,0.3447,493,1474,0,0,0
a1,hold,0.3564,493,1474,0,0,0
a1,hold,0.3662,493,1474,0,0,0
a1,hold,0.3713,493,1474,0,0,0
a1,hold,0.3848,493,1474,0,0,0
a1,hold,0.3892,487,1474,0,1,0
a1,hold,0.3975,487,1474,0,1,0
a1,hold,0.4017,487,1474,0,0,0
a1,hold,0.4059,487,1474,0,1,0
a1,hold,0.4174,487,1474,0,0,0
a1,hold,0.4269,485,1474,0,1,0
a1,hold,0.4310,485,1474,0,0,0
a1,hold,0.4352,485,1474,0,0,0
a1,hold,0.4483,485,1474,0,1,0
a1,hold,0.4582,482,1474,0,1,0
a1,hold,0.4632,482,1474,0,0,0
a1,hold,0.4682,482,1474,0,0,0
a1,hold,0.4798,482,1474,0,0,0
a1,hold,0.4902,480,1473,0,1,1
a1,hold,0.4948,480,1473,0,0,0
a1,hold,0.4997,480,1473,0,1,0
a1,hold,0.5107,478,1473,0,1,0
a1,hold,0.5203,478,1473,0,1,0
a1,hold,0.5248,478,1473,0,0,0
a1,hold,0.5294,478,1473,0,1,0
a1,hold,0.5421,476,1473,0,1,0
a1,hold,0.5516,476,1473,0,1,0
a1,hold,0.5558,476,1473,0,0,0
a1,hold,0.5608,476,1473,0,0,0
a1,hold,0.5723,473,1473,0,1,0
a1,hold,0.5822,473,1473,0,0,0
a1,hold,0.5864,473,1473,0,0,0
a1,hold,0.5907,473,1473,0,1,0
a1,hold,0.6038,472,1473,0,1,0
a1,hold,0.6131,472,1473,0,0,0
a1,hold,0.6173,472,1473,0,0,0
a1,hold,0.6217,472,1473,0,1,0
a1,hold,0.6340,470,1473,0,1,0
a1,hold,0.6381,470,1473,0,0,0
a1,hold,0.6451,470,1473,0,0,0
a1,hold,0.6498,470,1473,0,0,0
a1,hold,0.6541,469,1473,0,1,0
a1,hold,0.6658,469,1473,0,0,0
a1,hold,0.6762,469,1473,0,0,0
a1,hold,0.6805,469,1473,0,0,0
a1,hold,0.6855,468,1473,0,1,0
a1,hold,0.6966,468,1473,0,0,0
a1,hold,0.7061,468,1473,0,0,0
a1,hold,0.7111,468,1473,0,0,0
a1,hold,0.7161,467,1473,0,1,0
a1,hold,0.7275,467,1473,0,0,0
a1,hold,0.7370,467,1473,0,0,0
a1,hold,0.7420,467,1473,0,0,0
a1,hold,0.7471,466,1473,0,1,0
a1,hold,0.7588,466,1473,0,0,0
a1,hold,0.7685,466,1473,0,0,0
a1,hold,0.7735,466,1473,0,0,0
a1,hold,0.7781,465,1473,0,1,0
a1,hold,0.7905,465,1473,0,0,0
a1,hold,0.8008,465,1473,0,0,0
a1,hold,0.8065,464,1473,0,1,0
a1,hold,0.8200,464,1473,0,0,0
a1,hold,0.8301,464,1473,0,0,0
a1,hold,0.8352,467,1473,150,1,0
a1,hold,0.8402,467,1471,150,0,1
a1,hold,0.8519,467,1471,150,0,0
a1,hold,0.8622,467,1471,150,0,0
a1,hold,0.8664,486,1473,217,1,1
a1,hold,0.8707,486,1473,217,1,0
a1,hold,0.8829,486,1473,217,0,0
a1,hold,0.8922,486,1473,217,0,0
a1,hold,0.8967,486,1473,217,0,0
a1,hold,0.9009,486,1473,217,0,0
a1,hold,0.9133,486,1473,217,0,0
a1,hold,0.9230,486,1473,217,1,0
a1,hold,0.9272,506,1476,201,1,1
a1,hold,0.9314,506,1476,201,0,0
a1,hold,0.9444,506,1476,201,0,0
a1,hold,0.9541,506,1476,201,0,0
a1,hold,0.9583,506,1476,206,0,0
a1,hold,0.9625,506,1476,206,0,0
a1,hold,0.9755,506,1476,206,0,0
a1,hold,0.9849,506,1476,202,0,0
a1,hold,0.9898,505,1476,202,1,0
a1,hold,0.9940,505,1476,202,0,0
a1,hold,1.0068,505,1476,202,0,0
a1,hold,1.0163,505,1476,0,0,0
a1,hold,1.0209,487,1475,0,1,1
a1,hold,1.0258,487,1475,0,0,0
a1,hold,1.0387,487,1475,0,0,0
a1,hold,1.0500,468,1473,0,1,1
a1,hold,1.0560,468,1473,0,0,0
a1,hold,1.0692,468,1473,0,0,0
a1,hold,1.0791,459,1471,0,1,1
a1,hold,1.0844,459,1471,0,0,0
a1,hold,1.0979,459,1471,0,0,0
a1,hold,1.1031,455,1470,0,1,1
a1,hold,1.1114,455,1470,0,0,0
a1,hold,1.1167,455,1470,0,0,0
a1,hold,1.1300,455,1470,0,0,0
a1,hold,1.1405,452,1470,0,1,0
a1,hold,1.1456,452,1470,0,0,0
a1,hold,1.1506,452,1470,0,0,0
a1,hold,1.1622,450,1470,0,1,0
a1,hold,1.1721,450,1470,0,0,0
a1,hold,1.1767,450,1470,0,0,0
a1,hold,1.1814,450,1470,0,0,0
a1,hold,1.1928,449,1470,0,1,0
a1,hold,1.2031,449,1469,0,0,1
a1,hold,1.2077,449,1469,0,0,0
a1,hold,1.2119,449,1469,0,0,0
a1,hold,1.2245,447,1470,0,1,1
a1,hold,1.2351,447,1470,0,0,0
a1,hold,1.2411,447,1470,0,0,0
a1,hold,1.2551,446,1470,0,1,0
a1,hold,1.2650,446,1470,0,0,0
a1,hold,1.2697,446,1470,0,0,0
a1,hold,1.2744,446,1470,0,0,0
a1,hold,1.2857,446,1469,0,0,1
a1,hold,1.2952,446,1469,0,0,0
a1,hold,1.2999,446,1469,0,0,0
a1,hold,1.3049,445,1469,0,1,0
a1,hold,1.3169,445,1470,0,0,1
a1,hold,1.3271,445,1470,0,0,0
a1,hold,1.3321,445,1470,0,0,0
a1,hold,1.3363,444,1470,0,1,0
a1,hold,1.3480,444,1470,0,0,0
a1,hold,1.3580,444,1470,0,0,0
a1,hold,1.3631,444,1470,0,0,0
a1,hold,1.3768,443,1469,0,1,1
a1,hold,1.3818,443,1469,0,1,0
a1,hold,1.3901,443,1469,0,0,0
a1,hold,1.3947,442,1469,0,1,0
a1,hold,1.4082,442,1469,0,1,0
a1,hold,1.4132,442,1469,0,0,0
a1,hold,1.4212,442,1469,0,0,0
a1,hold,1.4262,441,1469,0,1,0
a1,hold,1.4398,441,1469,0,0,0
a1,hold,1.4444,441,1469,0,0,0
a1,hold,1.4530,441,1469,0,0,0
a1,hold,1.4590,440,1469,0,1,0
a1,hold,1.4715,440,1469,0,0,0
a1,hold,1.4810,440,1469,0,0,0
a1,hold,1.4856,439,1469,0,1,0
a1,hold,1.4902,439,1469,0,1,0
a1,hold,1.5021,439,1469,0,0,0
a1,hold,1.5123,439,1469,0,0,0
a1,hold,1.5165,439,1469,0,0,0
a1,hold,1.5212,439,1469,0,1,0
a1,hold,1.5334,439,1469,0,0,0
