trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof2_v25_F1000_n03.csv,2,25,1000,1218,218,1004,4149,1485,574,0,,1,-2,tcp1,50
A_dof2_v25_F100_n03.csv,2,25,100,136,36,98,3651,1489,579,0,,1,-3,tcp1,50
A_dof2_v25_F750_n00.csv,2,25,750,866,116,790,4084,1487,584,0,,1,-3,tcp1,50
A_dof2_v1000_F1000_n01.csv,2,1000,1000,3528,2528,216,250,1440,577,1,,3,-3,tcp1,50
A_dof2_v750_F250_n03.csv,2,750,250,3151,2901,144,247,1454,565,1,,2,0,tcp1,50
A_dof2_v500_F500_n03.csv,2,500,500,3039,2539,198,310,1448,612,1,,3,7,tcp1,50
A_dof2_v1000_F750_n01.csv,2,1000,750,3575,2825,212,243,1465,664,1,,2,-13,tcp1,50
A_dof2_v750_F750_n01.csv,2,750,750,2868,2118,92,247,1438,564,1,,2,-10,tcp1,50
A_dof2_v100_F100_n02.csv,2,100,100,215,115,98,954,1486,600,0,,1,-8,tcp1,50
A_dof2_v250_F250_n00.csv,2,250,250,1378,1128,486,488,1473,583,0,,2,-9,tcp1,50
A_dof2_v500_F500_n01.csv,2,500,500,2977,2477,186,314,1448,512,1,,2,-10,tcp1,52
A_dof2_v250_F750_n00.csv,2,250,750,2145,1395,985,488,1468,588,0,,2,-10,tcp1,50
A_dof2_v1000_F100_n02.csv,2,1000,100,3553,3453,162,268,1469,584,1,,2,-12,tcp1,50
A_dof2_v750_F750_n03.csv,2,750,750,2681,1931,82,266,1505,547,1,,2,-8,tcp1,50
A_dof2_v500_F1000_n00.csv,2,500,1000,3302,2302,274,313,1462,592,1,,2,-7,tcp1,50
A_dof2_v250_F250_n04.csv,2,250,250,2138,1888,355,489,1496,564,0,,2,-10,tcp1,52
A_dof2_v25_F750_n03.csv,2,25,750,872,122,784,4157,1489,579,0,,2,-11,tcp1,52
A_dof2_v50_F100_n00.csv,2,50,100,223,123,189,1876,1484,594,0,,1,-12,tcp1,50
A_dof2_v250_F100_n04.csv,2,250,100,1232,1132,70,462,1466,571,0,,2,-12,tcp1,52
A_dof2_v50_F500_n02.csv,2,50,500,724,224,585,1992,1489,583,0,,1,-12,tcp1,52
A_dof2_v1000_F100_n04.csv,2,1000,100,3609,3509,390,274,1460,539,1,,6,-12,tcp1,50
