index,dt_ms,ok
537,0.630435,1
538,0.611703,1
539,0.614118,1
540,9.629550,1
541,0.600113,1
542,0.650932,1
543,0.621114,1
544,0.647802,1
545,0.657202,1
546,0.980798,1
547,0.621897,1
548,0.625173,1
549,5.778844,1
550,0.619587,1
551,0.639363,1
552,0.606899,1
553,0.623587,1
554,0.622641,1
555,0.633325,1
556,0.624898,1
557,0.641204,1
558,0.611212,1
559,0.638142,1
560,0.650503,1
561,0.633657,1
562,0.626370,1
563,0.620862,1
564,0.621426,1
565,0.640234,1
566,9.667891,1
567,0.622357,1
568,0.650969,1
569,0.598893,1
570,0.619762,1
571,0.630976,1
572,0.636590,1
573,0.631279,1
574,0.629474,1
575,0.632085,1
576,5.745426,1
577,0.639356,1
578,0.622149,1
579,0.639349,1
580,0.621649,1
581,0.635066,1
582,0.655210,1
583,0.928726,1
584,0.626387,1
585,0.634618,1
586,0.627139,1
587,0.613852,1
588,0.640617,1
589,0.619617,1
590,0.611050,1
591,0.654915,1
592,9.848690,1
593,0.633046,1
594,0.629778,1
595,0.617647,1
596,0.630186,1
597,0.952832,1
598,0.625789,1
599,0.617595,1
600,0.645079,1
601,6.047280,1
602,0.645000,1
603,0.961407,1
604,0.639287,1
605,0.979439,1
606,0.986913,1
607,0.925150,1
608,0.665624,1
609,0.594028,1
610,0.631385,1
611,0.626553,1
612,0.621245,1
613,0.616182,1
614,0.975902,1
615,9.590626,1
616,0.643442,1
617,0.635370,1
618,0.641512,1
619,0.599533,1
620,0.625296,1
621,0.632759,1
622,0.990621,1
623,0.612390,1
624,5.844659,1
625,0.987970,1
626,0.613158,1
627,0.645972,1
628,0.969136,1
629,0.653522,1
630,0.969945,1
631,0.975442,1
632,0.957594,1
633,0.641144,1
634,0.622580,1
635,0.627795,1
636,0.905673,1
637,0.626163,1
638,9.640209,1
639,0.644603,1
640,0.624995,1
641,0.615018,1
642,0.627468,1
643,0.967589,1
644,0.657592,1
645,0.586082,1
646,0.634147,1
647,5.808913,1
648,0.612976,1
649,0.629835,1
650,0.624814,1
651,0.628202,1
652,0.632547,1
653,0.617713,1
654,0.631985,1
655,0.625854,1
656,0.980927,1
657,0.987459,1
658,0.614398,1
659,0.645983,1
660,0.630497,1
661,0.653325,1
662,0.602595,1
663,9.640438,1
664,0.631555,1
665,0.642960,1
666,0.619270,1
667,0.622667,1
668,0.608343,1
669,0.998888,1
670,0.976753,1
671,6.369549,1
672,0.621873,1
673,0.637970,1
674,0.632730,1
675,0.626547,1
676,0.618010,1
677,0.621989,1
678,0.974895,1
679,0.627004,1
680,0.613622,1
681,0.633705,1
682,0.628827,1
683,0.634405,1
684,0.599714,1
685,0.643746,1
686,0.641123,1
687,9.762700,1
688,0.656985,1
689,0.606460,1
690,0.626339,1
691,0.931762,1
692,0.616366,1
693,0.624995,1
694,0.604896,1
695,0.628888,1
696,5.900924,1
697,0.628354,1
698,0.625444,1
699,0.635289,1
700,0.622435,1
701,0.638089,1
702,0.601032,1
703,0.636782,1
704,0.645932,1
705,0.618627,1
706,0.618681,1
707,0.627473,1
708,0.588257,1
709,0.627444,1
710,0.620875,1
711,0.584309,1
712,0.617391,1
713,0.626069,1
714,9.597377,1
715,0.625095,1
716,0.622748,1
717,0.629578,1
718,0.630014,1
719,0.634161,1
720,0.606491,1
721,0.629107,1
722,0.619177,1
723,5.968577,1
724,0.628453,1
725,0.637522,1
726,0.965492,1
727,0.632763,1
728,0.630996,1
729,0.634384,1
730,0.616116,1
731,0.810733,1
732,0.883028,1
733,0.613326,1
734,0.604700,1
735,0.986195,1
736,0.907481,1
737,0.570093,1
738,9.846810,1
739,0.903773,1
740,0.607733,1
741,0.646934,1
742,0.966062,1
743,0.619944,1
744,0.634157,1
745,0.629126,1
746,6.202712,1
747,0.626137,1
748,0.644755,1
749,0.647922,1
750,0.631552,1
751,0.634940,1
752,0.656261,1
753,0.616984,1
754,0.620907,1
755,0.629844,1
756,0.587629,1
757,0.649941,1
758,0.621887,1
759,0.635435,1
760,0.657836,1
761,0.973203,1
762,9.731970,1
763,0.965585,1
764,0.621534,1
765,0.616895,1
766,0.642023,1
767,0.613761,1
768,0.638297,1
769,0.618626,1
770,0.663027,1
771,5.706214,1
772,0.632654,1
773,0.607181,1
774,0.594000,1
775,0.649085,1
776,0.632168,1
777,0.629419,1
778,0.627892,1
779,0.605355,1
780,0.637742,1
781,0.871238,1
782,0.984914,1
783,0.917681,1
784,0.646709,1
785,0.638899,1
786,0.633449,1
787,9.738565,1
788,0.941266,1
789,0.620641,1
790,0.666896,1
791,0.965490,1
792,0.941958,1
793,0.596925,1
794,0.611218,1
795,6.006242,1
796,0.959822,1
797,0.598350,1
798,0.955952,1
799,0.621294,1
800,0.658364,1
801,1.001344,1
802,0.935965,1
803,0.612662,1
804,0.607367,1
805,0.973526,1
806,0.646324,1
807,0.980868,1
808,0.640279,1
809,9.722255,1
810,0.889667,1
811,0.960624,1
812,0.947856,1
813,0.621081,1
814,0.751565,1
815,0.848689,1
816,6.003223,1
817,0.619164,1
818,0.622431,1
819,0.641155,1
820,0.940876,1
821,0.635703,1
822,0.623779,1
823,0.636924,1
824,0.631107,1
825,0.628155,1
826,0.626652,1
827,0.623024,1
828,0.649574,1
829,0.989328,1
830,0.957177,1
831,9.811791,1
832,0.580197,1
833,0.611844,1
834,0.969409,1
835,0.982442,1
836,0.640202,1
837,0.641997,1
838,0.952338,1
839,5.746017,1
840,0.902819,1
841,0.955004,1
842,0.675158,1
843,0.922520,1
844,0.960589,1
845,0.643798,1
846,0.623502,1
847,0.631948,1
848,0.593646,1
849,0.974386,1
